PlayerID,Age,Gender,Location,GameGenre,GameDifficulty,PlayTimeHours,InGamePurchases,SessionsPerWeek,AvgSessionDurationMinutes,PlayerLevel,AchievementsUnlocked,EngagementLevel,HrsPerSession,churned
9000,43,Male,Other,Strategy,Medium,16.27,0,6,108,79,25,Medium,2.71,0
9001,29,Female,USA,Strategy,Medium,5.53,0,5,144,11,10,Medium,1.11,0
9002,22,Female,USA,Sports,Easy,8.22,0,16,142,35,41,High,0.51,0
9003,35,Male,USA,Action,Easy,5.27,1,9,85,57,47,Medium,0.59,0
9004,33,Male,Europe,Action,Medium,15.53,0,2,131,95,37,Medium,7.77,0
9005,37,Male,Europe,RPG,Easy,20.56,0,2,81,74,22,Low,10.28,1
9006,25,Male,USA,Action,Hard,9.75,0,1,50,13,2,Low,9.75,1
9007,25,Female,Asia,RPG,Medium,4.4,0,10,48,27,23,Medium,0.44,0
9008,38,Female,Europe,Simulation,Easy,18.15,0,5,101,23,41,Medium,3.63,0
9009,38,Female,Other,Sports,Easy,23.94,0,13,95,99,36,High,1.84,0
9010,17,Male,USA,Strategy,Hard,4.83,0,8,95,14,12,High,0.6,0
9011,36,Female,Asia,Simulation,Easy,5.54,1,16,124,62,31,High,0.35,0
9012,16,Male,USA,Sports,Easy,18.78,1,9,18,52,32,High,2.09,0
9013,38,Female,USA,Strategy,Easy,8.7,0,0,156,33,47,Low,,1
9014,44,Male,USA,Simulation,Easy,17.98,0,8,41,98,1,Low,2.25,1
9015,16,Male,Europe,RPG,Medium,7.95,0,10,156,58,24,High,0.8,0
9016,35,Male,Asia,Strategy,Easy,17.89,0,16,154,62,4,High,1.12,0
9017,47,Male,USA,RPG,Medium,17.27,0,2,131,13,9,Low,8.64,1
9018,26,Female,Asia,Action,Easy,19.42,0,3,135,77,25,Medium,6.47,0
9019,36,Female,Asia,RPG,Easy,19.34,0,4,56,21,30,Low,4.83,1
9020,39,Female,USA,Sports,Easy,1.72,0,2,177,34,37,Medium,0.86,0
9021,41,Female,USA,Sports,Easy,16.17,0,18,159,36,33,High,0.9,0
9022,42,Male,USA,Sports,Medium,10.45,0,2,120,81,5,Low,5.22,1
9023,30,Male,Europe,Strategy,Easy,17.96,0,14,117,40,19,High,1.28,0
9024,29,Male,Europe,Sports,Medium,22.56,0,12,161,1,22,High,1.88,0
9025,17,Female,USA,Sports,Hard,10.31,0,4,82,1,7,Medium,2.58,0
9026,21,Male,USA,Strategy,Medium,4.9,0,12,118,71,26,High,0.41,0
9027,35,Male,USA,Sports,Easy,14.59,0,18,177,59,18,High,0.81,0
9028,23,Male,Europe,Simulation,Easy,3.22,0,14,57,2,1,Medium,0.23,0
9029,32,Female,USA,Sports,Easy,4.13,0,1,155,85,37,Low,4.13,1
9030,18,Female,Asia,Simulation,Easy,22.86,0,3,67,35,2,Low,7.62,1
9031,39,Male,USA,Sports,Easy,3.37,1,5,70,50,11,Medium,0.67,0
9032,28,Female,Europe,Action,Hard,14.53,0,0,127,48,48,Low,,1
9033,23,Male,USA,Simulation,Hard,18.96,0,19,48,62,42,Medium,1.0,0
9034,40,Male,USA,Strategy,Hard,11.73,0,0,120,24,18,Low,,1
9035,16,Female,USA,RPG,Medium,17.49,0,18,166,24,17,High,0.97,0
9036,34,Male,Europe,Action,Hard,13.78,0,19,28,79,41,Medium,0.73,0
9037,42,Male,USA,Strategy,Medium,23.96,0,17,61,26,26,Medium,1.41,0
9038,21,Female,Europe,Action,Medium,1.91,0,11,112,14,0,Medium,0.17,0
9039,22,Female,Europe,Sports,Hard,5.56,0,3,116,52,44,Medium,1.85,0
9040,49,Female,Europe,Strategy,Medium,13.71,1,15,43,93,29,Medium,0.91,0
9041,28,Male,Other,RPG,Medium,12.28,0,4,151,76,35,Medium,3.07,0
9042,31,Male,USA,Action,Medium,2.24,0,15,68,88,39,Medium,0.15,0
9043,18,Male,Other,RPG,Medium,13.15,0,12,115,98,7,Medium,1.1,0
9044,16,Female,Europe,Action,Easy,2.62,0,14,149,10,34,High,0.19,0
9045,20,Male,Asia,RPG,Medium,16.59,0,19,65,34,46,Medium,0.87,0
9046,18,Male,USA,RPG,Easy,15.65,0,17,176,45,43,High,0.92,0
9047,43,Male,USA,Strategy,Medium,1.6,0,3,31,73,49,Low,0.53,1
9048,32,Female,USA,Sports,Easy,11.2,0,19,77,51,38,High,0.59,0
9049,40,Male,Europe,Sports,Hard,17.07,0,8,94,31,13,Medium,2.13,0
9050,48,Male,Other,RPG,Hard,19.22,0,3,146,22,32,Medium,6.41,0
9051,24,Male,USA,Sports,Medium,0.87,0,8,45,19,21,High,0.11,0
9052,28,Male,Europe,Simulation,Easy,11.22,0,8,134,64,25,Medium,1.4,0
9053,45,Male,Europe,Simulation,Easy,23.7,1,1,50,95,26,Low,23.7,1
9054,29,Male,Europe,RPG,Easy,9.21,1,15,171,6,16,High,0.61,0
9055,22,Female,USA,RPG,Easy,12.82,1,8,46,8,0,Medium,1.6,0
9056,28,Male,USA,Simulation,Easy,7.18,0,8,139,20,1,Medium,0.9,0
9057,37,Male,USA,Simulation,Easy,1.32,1,15,36,88,36,Medium,0.09,0
9058,35,Male,USA,Simulation,Easy,21.69,0,15,148,73,43,High,1.45,0
9059,30,Female,USA,Strategy,Easy,15.15,0,9,153,46,19,Medium,1.68,0
9060,32,Male,USA,Action,Hard,12.56,0,11,138,27,13,High,1.14,0
9061,38,Female,USA,Strategy,Medium,19.46,0,19,155,35,30,High,1.02,0
9062,40,Female,Europe,Simulation,Easy,3.53,0,2,94,76,42,Medium,1.76,0
9063,39,Male,Other,Action,Hard,20.86,0,16,140,10,16,High,1.3,0
9064,43,Male,Other,Sports,Easy,14.63,0,1,16,38,43,Low,14.63,1
9065,29,Female,USA,Simulation,Easy,17.0,1,16,135,80,43,High,1.06,0
9066,15,Female,USA,Simulation,Easy,14.9,0,6,49,58,42,Medium,2.48,0
9067,39,Female,Other,Sports,Medium,19.75,0,7,46,26,47,Medium,2.82,0
9068,21,Female,Europe,Action,Easy,19.03,0,13,30,3,40,Medium,1.46,0
9069,23,Male,Other,Simulation,Medium,13.72,1,17,167,72,24,High,0.81,0
9070,38,Female,Europe,Action,Easy,20.16,0,13,79,29,32,Medium,1.55,0
9071,15,Male,Asia,Strategy,Medium,18.85,0,7,111,45,2,Medium,2.69,0
9072,22,Male,Europe,RPG,Easy,12.08,1,7,79,46,32,Medium,1.73,0
9073,38,Female,Europe,Strategy,Medium,2.26,0,12,131,12,37,High,0.19,0
9074,25,Male,Europe,RPG,Easy,20.81,1,19,109,91,48,High,1.1,0
9075,31,Male,USA,Simulation,Easy,9.01,0,14,106,23,1,High,0.64,0
9076,22,Male,Asia,Strategy,Medium,19.66,1,3,29,9,30,Low,6.55,1
9077,49,Male,USA,Strategy,Easy,18.54,1,0,83,15,4,Low,,1
9078,49,Female,USA,Sports,Easy,2.04,1,12,70,33,33,Medium,0.17,0
9079,47,Male,Asia,RPG,Easy,6.53,0,10,14,15,25,Low,0.65,1
9080,19,Female,Europe,RPG,Easy,19.86,1,1,139,24,0,Low,19.86,1
9081,42,Male,USA,Simulation,Medium,13.98,0,12,34,14,15,Medium,1.17,0
9082,21,Male,USA,Sports,Easy,7.74,0,5,77,40,38,Medium,1.55,0
9083,23,Male,USA,Sports,Easy,3.8,1,12,41,73,10,Medium,0.32,0
9084,22,Male,USA,RPG,Easy,10.39,0,19,102,14,24,High,0.55,0
9085,26,Male,USA,Sports,Medium,15.07,0,4,117,4,49,Medium,3.77,0
9086,48,Female,Asia,Action,Easy,8.46,1,3,122,89,24,Medium,2.82,0
9087,47,Male,Europe,Simulation,Hard,14.43,0,18,14,78,4,Low,0.8,1
9088,37,Male,USA,Strategy,Medium,19.5,0,11,147,40,49,High,1.77,0
9089,38,Male,Europe,RPG,Medium,6.5,1,8,107,11,7,Medium,0.81,0
9090,49,Male,USA,Sports,Medium,2.15,0,14,36,59,35,Medium,0.15,0
9091,36,Male,USA,Sports,Easy,4.31,0,1,73,76,15,Low,4.31,1
9092,41,Female,Europe,Sports,Easy,5.69,1,7,12,77,28,Low,0.81,1
9093,49,Male,Asia,Simulation,Easy,3.11,0,0,99,80,42,Low,,1
9094,15,Male,Asia,Strategy,Hard,9.74,1,4,32,33,42,Low,2.44,1
9095,49,Male,Europe,Sports,Easy,7.84,0,19,126,3,14,High,0.41,0
9096,28,Male,USA,Strategy,Medium,9.21,1,1,84,61,39,Low,9.21,1
9097,17,Male,Europe,Strategy,Easy,8.64,0,3,117,1,11,Medium,2.88,0
9098,15,Female,Europe,Simulation,Easy,5.97,0,11,55,54,37,Medium,0.54,0
9099,19,Female,USA,Sports,Hard,15.38,0,14,93,65,42,High,1.1,0
9100,40,Male,Europe,Sports,Medium,5.81,0,5,40,89,29,Medium,1.16,0
9101,28,Female,Europe,Strategy,Hard,22.35,0,11,109,53,18,Medium,2.03,0
9102,41,Male,Europe,Sports,Easy,7.65,0,2,33,54,33,Low,3.82,1
9103,23,Female,Europe,Simulation,Medium,22.88,0,8,91,38,14,Medium,2.86,0
9104,29,Female,Other,Sports,Easy,4.56,0,16,36,22,36,Medium,0.28,0
9105,29,Male,Europe,Sports,Easy,2.07,1,15,101,73,45,High,0.14,0
9106,40,Male,Asia,Sports,Easy,7.38,0,15,24,56,17,Medium,0.49,0
9107,27,Male,Other,Simulation,Hard,7.73,0,17,72,45,48,Medium,0.45,0
9108,46,Male,Asia,Strategy,Medium,19.4,1,9,127,75,32,Medium,2.16,0
9109,46,Male,Other,Strategy,Easy,18.55,0,12,96,2,21,Medium,1.55,0
9110,18,Female,Asia,Sports,Easy,4.46,0,16,121,10,35,High,0.28,0
9111,44,Male,USA,Simulation,Hard,22.14,0,7,60,5,30,Medium,3.16,0
9112,37,Male,USA,Sports,Medium,8.5,0,18,145,88,15,High,0.47,0
